fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_1_001,CA_1,11.54,1337.21,90.42,True,
2,FOODS_1_001,CA_1,32.61,1787.45,90.45,False,timeout
3,FOODS_1_001,CA_1,48.79,1792.57,92.01,True,
1,FOODS_1_002,CA_1,27.94,346.58,29.42,True,
2,FOODS_1_002,CA_1,22.63,1745.02,57.24,True,
3,FOODS_1_002,CA_1,44.27,1808.31,24.1,True,
1,FOODS_1_003,TX_1,36.45,536.46,24.28,True,
2,FOODS_1_003,TX_1,52.45,1747.42,67.44,True,
3,FOODS_1_003,TX_1,53.17,1175.09,75.78,True,
1,FOODS_1_004,TX_2,33.27,1308.26,37.94,True,
2,FOODS_1_004,TX_2,27.5,1702.06,85.27,True,
3,FOODS_1_004,TX_2,34.74,1142.95,22.21,False,timeout
1,HOUSEHOLD_1_001,WI_1,38.32,827.01,88.03,True,
2,HOUSEHOLD_1_001,WI_1,19.1,1661.72,11.47,True,
3,HOUSEHOLD_1_001,WI_1,38.68,695.63,31.45,True,
1,HOUSEHOLD_1_002,WI_2,20.36,52.59,19.46,False,timeout
2,HOUSEHOLD_1_002,WI_2,55.4,72.3,89.66,True,
3,HOUSEHOLD_1_002,WI_2,44.16,216.26,47.47,True,
1,HOBBIES_1_001,CA_2,58.45,162.17,52.92,True,
2,HOBBIES_1_001,CA_2,57.73,439.59,79.79,True,
3,HOBBIES_1_001,CA_2,6.53,760.96,14.58,True,
1,HOBBIES_1_002,TX_1,26.89,729.01,25.35,True,
2,HOBBIES_1_002,TX_1,13.38,431.59,22.39,True,
3,HOBBIES_1_002,TX_1,10.58,1478.44,85.82,True,
1,HOBBIES_1_003,TX_2,13.58,174.92,44.04,True,
2,HOBBIES_1_003,TX_2,6.21,987.87,51.59,True,
3,HOBBIES_1_003,TX_2,9.24,665.51,43.08,True,
1,HOUSEHOLD_1_003,WI_3,28.27,859.07,50.02,True,
2,HOUSEHOLD_1_003,WI_3,52.62,902.4,62.75,True,
3,HOUSEHOLD_1_003,WI_3,39.76,1764.85,60.82,True,
