fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_1_001,CA_1,0.01,106.65,81.48,True,
2,FOODS_1_001,CA_1,0.01,1815.07,17.92,True,
3,FOODS_1_001,CA_1,0.01,1686.48,69.29,True,
1,FOODS_1_002,CA_1,0.01,957.18,52.07,True,
2,FOODS_1_002,CA_1,0.01,1960.82,96.91,False,timeout
3,FOODS_1_002,CA_1,0.01,245.03,19.77,True,
1,FOODS_1_003,TX_1,0.01,670.72,11.03,True,
2,FOODS_1_003,TX_1,0.01,1829.81,64.6,True,
3,FOODS_1_003,TX_1,0.01,477.54,10.79,True,
1,FOODS_1_004,TX_2,0.01,1857.13,63.59,True,
2,FOODS_1_004,TX_2,0.01,1460.04,24.7,True,
3,FOODS_1_004,TX_2,0.01,1309.24,76.65,True,
1,HOUSEHOLD_1_001,WI_1,0.01,1773.05,43.42,True,
2,HOUSEHOLD_1_001,WI_1,0.01,1834.2,15.89,True,
3,HOUSEHOLD_1_001,WI_1,0.01,1769.47,81.8,True,
1,HOUSEHOLD_1_002,WI_2,0.01,1940.31,69.99,True,
2,HOUSEHOLD_1_002,WI_2,0.01,696.51,22.55,True,
3,HOUSEHOLD_1_002,WI_2,0.01,1025.65,50.08,True,
1,HOBBIES_1_001,CA_2,0.01,700.06,83.72,True,
2,HOBBIES_1_001,CA_2,0.01,1287.67,54.79,True,
3,HOBBIES_1_001,CA_2,0.01,1545.43,83.23,True,
1,HOBBIES_1_002,TX_1,0.01,681.93,70.3,True,
2,HOBBIES_1_002,TX_1,0.01,704.28,34.18,True,
3,HOBBIES_1_002,TX_1,0.01,1843.42,23.79,True,
1,HOBBIES_1_003,TX_2,0.01,597.56,61.92,True,
2,HOBBIES_1_003,TX_2,0.01,1739.88,44.05,True,
3,HOBBIES_1_003,TX_2,0.01,777.96,82.92,True,
1,HOUSEHOLD_1_003,WI_3,0.01,456.88,76.67,True,
2,HOUSEHOLD_1_003,WI_3,0.01,819.65,77.51,True,
3,HOUSEHOLD_1_003,WI_3,0.01,1280.59,34.94,True,
