fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_1_001,CA_1,0.02,586.82,63.34,True,
2,FOODS_1_001,CA_1,0.02,206.37,32.99,True,
3,FOODS_1_001,CA_1,0.02,1765.99,27.4,True,
1,FOODS_1_002,CA_1,0.02,1134.76,97.47,True,
2,FOODS_1_002,CA_1,0.02,695.72,73.53,True,
3,FOODS_1_002,CA_1,0.02,1924.72,37.07,True,
1,FOODS_1_003,TX_1,0.02,1908.42,27.52,True,
2,FOODS_1_003,TX_1,0.02,1759.23,55.7,True,
3,FOODS_1_003,TX_1,0.02,109.06,46.63,True,
1,FOODS_1_004,TX_2,0.02,632.45,63.42,True,
2,FOODS_1_004,TX_2,0.02,102.27,18.22,True,
3,FOODS_1_004,TX_2,0.02,1196.12,29.33,True,
1,HOUSEHOLD_1_001,WI_1,0.02,1602.11,35.92,False,timeout
2,HOUSEHOLD_1_001,WI_1,0.02,690.93,53.91,False,timeout
3,HOUSEHOLD_1_001,WI_1,0.02,917.59,29.55,True,
1,HOUSEHOLD_1_002,WI_2,0.02,1106.34,65.35,True,
2,HOUSEHOLD_1_002,WI_2,0.02,1173.66,74.24,True,
3,HOUSEHOLD_1_002,WI_2,0.02,1374.2,60.55,True,
1,HOBBIES_1_001,CA_2,0.02,784.46,32.47,True,
2,HOBBIES_1_001,CA_2,0.02,1939.88,42.86,True,
3,HOBBIES_1_001,CA_2,0.02,632.51,76.74,True,
1,HOBBIES_1_002,TX_1,0.02,884.51,41.85,True,
2,HOBBIES_1_002,TX_1,0.02,643.53,94.66,True,
3,HOBBIES_1_002,TX_1,0.02,1892.22,57.89,True,
1,HOBBIES_1_003,TX_2,0.02,457.19,99.12,True,
2,HOBBIES_1_003,TX_2,0.02,190.61,87.67,True,
3,HOBBIES_1_003,TX_2,0.02,986.46,59.55,True,
1,HOUSEHOLD_1_003,WI_3,0.02,1050.35,17.49,True,
2,HOUSEHOLD_1_003,WI_3,0.02,1173.93,88.44,True,
3,HOUSEHOLD_1_003,WI_3,0.02,1675.08,40.03,True,
