fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_1_001,CA_1,18.72,1363.19,97.89,True,
2,FOODS_1_001,CA_1,13.44,826.29,53.81,True,
3,FOODS_1_001,CA_1,16.07,1348.02,16.84,True,
1,FOODS_1_002,CA_1,11.73,417.81,67.77,True,
2,FOODS_1_002,CA_1,15.1,1769.96,88.85,False,timeout
3,FOODS_1_002,CA_1,7.17,193.23,17.12,True,
1,FOODS_1_003,TX_1,7.41,891.4,13.44,True,
2,FOODS_1_003,TX_1,6.17,1728.91,69.9,True,
3,FOODS_1_003,TX_1,19.63,1953.13,65.61,True,
1,FOODS_1_004,TX_2,17.02,994.88,41.51,True,
2,FOODS_1_004,TX_2,7.96,1302.48,28.03,True,
3,FOODS_1_004,TX_2,15.71,682.16,18.73,True,
1,HOUSEHOLD_1_001,WI_1,15.31,876.82,11.72,True,
2,HOUSEHOLD_1_001,WI_1,2.75,843.76,35.4,True,
3,HOUSEHOLD_1_001,WI_1,16.43,726.96,64.65,True,
1,HOUSEHOLD_1_002,WI_2,7.23,1012.49,44.48,False,timeout
2,HOUSEHOLD_1_002,WI_2,5.27,1721.55,18.83,True,
3,HOUSEHOLD_1_002,WI_2,10.2,387.45,92.93,True,
1,HOBBIES_1_001,CA_2,10.1,1975.6,16.58,True,
2,HOBBIES_1_001,CA_2,9.16,1213.84,73.43,True,
3,HOBBIES_1_001,CA_2,1.23,684.95,25.0,True,
1,HOBBIES_1_002,TX_1,4.88,475.24,25.47,True,
2,HOBBIES_1_002,TX_1,10.91,677.17,42.47,True,
3,HOBBIES_1_002,TX_1,3.88,924.55,99.28,True,
1,HOBBIES_1_003,TX_2,12.43,1749.66,76.2,True,
2,HOBBIES_1_003,TX_2,15.06,997.02,36.34,True,
3,HOBBIES_1_003,TX_2,16.79,1932.5,85.94,True,
1,HOUSEHOLD_1_003,WI_3,8.41,1639.63,16.79,True,
2,HOUSEHOLD_1_003,WI_3,6.64,750.49,33.47,True,
3,HOUSEHOLD_1_003,WI_3,7.78,1891.98,20.94,True,
